gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,,Random Sampling
female,group B,bachelor's degree,standard,none,72,72,74,,0.904871105
female,group C,some college,standard,completed,69,90,88,,0.014252613
female,group B,master's degree,standard,none,90,95,93,,0.536607977
male,group A,associate's degree,free/reduced,none,47,57,44,,0.316748187
male,group C,some college,standard,none,76,78,75,,0.205842582
female,group B,associate's degree,standard,none,71,83,78,,0.305725371
female,group B,some college,standard,completed,88,95,92,,0.922811462
male,group B,some college,free/reduced,none,40,43,39,,0.623647262
male,group D,high school,free/reduced,completed,64,64,67,,0.474969448
female,group B,high school,free/reduced,none,38,60,50,,0.187964572
male,group C,associate's degree,standard,none,58,54,52,,0.954170919
male,group D,associate's degree,standard,none,40,52,43,,0.83995315
female,group B,high school,standard,none,65,81,73,,0.91968838
male,group A,some college,standard,completed,78,72,70,,0.89840636
female,group A,master's degree,standard,none,50,53,58,,0.702686806
female,group C,some high school,standard,none,69,75,78,,0.394895281
male,group C,high school,standard,none,88,89,86,,0.352786967
female,group B,some high school,free/reduced,none,18,32,28,,0.100249201
male,group C,master's degree,free/reduced,completed,46,42,46,,0.209359823
female,group C,associate's degree,free/reduced,none,54,58,61,,0.394472464
male,group D,high school,standard,none,66,69,63,,0.442468845
female,group B,some college,free/reduced,completed,65,75,70,,0.194277139
male,group D,some college,standard,none,44,54,53,,0.445091801
female,group C,some high school,standard,none,69,73,73,,0.663830713
male,group D,bachelor's degree,free/reduced,completed,74,71,80,,0.082814884
male,group A,master's degree,free/reduced,none,73,74,72,,0.588982723
male,group B,some college,standard,none,69,54,55,,0.643798026
female,group C,bachelor's degree,standard,none,67,69,75,,0.703390805
male,group C,high school,standard,none,70,70,65,,0.950067577
female,group D,master's degree,standard,none,62,70,75,,0.398532508
female,group D,some college,standard,none,69,74,74,,0.128958042
female,group B,some college,standard,none,63,65,61,,0.63156431
female,group E,master's degree,free/reduced,none,56,72,65,,0.383717054
male,group D,some college,standard,none,40,42,38,,0.936477211
male,group E,some college,standard,none,97,87,82,,0.125870307
male,group E,associate's degree,standard,completed,81,81,79,,0.331507385
female,group D,associate's degree,standard,none,74,81,83,,0.138874259
female,group D,some high school,free/reduced,none,50,64,59,,0.918384592
female,group D,associate's degree,free/reduced,completed,75,90,88,,0.369136062
